DateTime,AddedIPs,RemovedIPs
1512346479,1,1
1512362227,1,0
1512377583,1,0
1512417388,1,0
1512419578,1,0
1512433273,0,1
1512448623,0,1
1512463987,0,1
1512503822,0,1
1512569824,1,1
1512610903,1,0
1512657414,0,1
1512678261,1,0
1512694904,1,0
1512697021,0,1
1512709021,1,0
1512714773,1,0
1512730123,1,0
1512750033,1,0
1512763700,1,0
1512765645,0,1
1512769467,1,0
1512780514,0,1
1512795697,0,1
1512801615,0,1
1512816877,0,1
1512836688,0,1
1512840517,1,0
1512850126,0,1
1512855868,0,1
1512857795,1,0
1512898379,1,0
1512925484,0,1
1512943300,0,1
1512952850,1,0
1512985716,0,1
1512987655,1,0
1513028899,1,0
1513036586,1,0
1513038511,0,1
1513044287,1,0
1513069297,1,0
1513075017,0,1
1513078851,1,0
1513088535,1,0
1513111955,2,0
1513115799,0,1
1513122136,0,1
1513132141,0,1
1513150137,2,0
1513155889,0,1
1513159724,1,0
1513165479,0,1
1513173181,0,1
1513185423,1,0
1513189258,1,0
1513199084,0,2
1513202926,1,0
1513222371,1,0
1513224284,1,0
1513228121,1,0
1513235809,0,2
1513241545,1,0
1513248277,0,1
1513272272,0,1
1513276118,0,1
1513289600,0,1
1513308989,0,1
1513310937,0,1
1513314735,0,1
1513326290,0,1
1513348604,1,0
1513362265,1,0
1513374021,1,0
1513383857,1,0
1513435950,0,1
1513447951,0,1
1513461415,0,1
1513463312,3,0
1513471005,0,1
1513486572,2,0
1513523309,1,0
1513545106,1,0
1513549250,0,3
1513572517,0,2
1513580213,2,0
1513590035,1,0
1513609701,0,1
1513631644,0,1
1513654692,1,0
1513666194,0,2
1513678442,0,1
1513739086,0,1
1513763063,1,0
1513802482,1,0
1513813097,1,0
1513850506,0,1
1513874202,1,0
1513880188,1,0
1513888678,0,1
1513897351,0,1
1513930379,1,0
1513938216,1,0
1513942387,1,0
1513948240,1,0
1513959683,0,1
1513961562,1,0
1514016271,0,1
1514018191,0,1
1514025869,0,1
1514029715,0,1
1514033867,0,1
1514045304,0,1
1514120732,1,0
1514206579,0,1
1514221289,1,0
1514290857,2,0
1514308263,0,1
1514346292,1,0
1514368130,1,0
1514376094,0,1
1514378211,0,1
1514417329,1,0
1514429315,1,0
1514433420,0,1
1514455289,0,1
1514459319,1,0
1514479663,1,0
1514503089,0,1
1514514787,0,1
1514520522,1,0
1514539920,1,0
1514545670,0,1
1514549715,1,0
1514555531,1,0
1514565907,0,1
1514571870,1,0
1514573848,1,0
1514607764,0,1
1514623293,1,0
1514625412,0,1
1514636861,0,1
1514642917,0,1
1514649365,1,0
1514657316,0,1
1514659239,0,1
1514672034,1,0
1514682109,1,0
1514709633,0,1
