DateTime,Entries,UniqueIPs
1507525808,2194,2194
1507540208,2211,2211
1507554609,2219,2219
1507569009,2242,2242
1507583409,2274,2274
1507597809,2277,2277
1507612209,2282,2282
1507626609,2319,2319
1507641009,2345,2345
1507655414,2417,2417
1507669809,2473,2473
1507684209,2498,2498
1507698609,2497,2497
1507713009,2540,2540
1507727409,2601,2601
1507741810,2652,2652
1507756210,2756,2756
1507770611,2857,2857
1507785011,2938,2938
1507799410,3075,3075
1507813811,3161,3161
1507828211,3209,3209
1507842611,3319,3319
1507857011,3420,3420
1507871411,3481,3481
1507885812,3568,3568
1507900214,3624,3624
1507914613,3619,3619
1507929012,3674,3674
1507943412,3617,3617
1507957812,3509,3509
1507972212,3537,3537
1507986612,3539,3539
1508001012,3498,3498
1508015411,3440,3440
1508029812,3386,3386
1508044212,3300,3300
1508058611,3257,3257
1508073011,3210,3210
1508087411,3160,3160
1508101810,3178,3178
1508116211,3194,3194
1508130611,3208,3208
1508145011,3296,3296
1508159411,3411,3411
1508173815,3589,3589
1508188215,3770,3770
1508202612,3859,3859
1508217013,3975,3975
1508231412,4098,4098
1508245813,4176,4176
1508260214,4178,4178
1508274615,4238,4238
1508289015,4237,4237
1508303413,4187,4187
1508317816,4199,4199
1508332214,4075,4075
1508346614,3992,3992
1508361013,4029,4029
1508375413,3983,3983
1508389813,3945,3945
1508404213,3995,3995
1508418614,4036,4036
1508433014,4031,4031
1508447414,4073,4073
1508461813,4051,4051
1508476211,3214,3214
1508490618,3994,3994
1508505012,3973,3973
1508519413,3970,3970
1508533813,3944,3944
1508548213,3913,3913
1508562613,3881,3881
1508577013,3945,3945
1508591413,3975,3975
1508605814,3941,3941
1508620214,3947,3947
1508634614,3966,3966
1508649013,3863,3863
1508663413,3796,3796
1508677813,3735,3735
1508692212,3701,3701
1508706613,3667,3667
1508721012,3624,3624
1508735412,3538,3538
1508749813,3541,3541
1508764212,3537,3537
1508778619,3574,3574
1508793012,3594,3594
1508807413,3713,3713
1508821813,3775,3775
1508836213,3869,3869
1508850612,3894,3894
1508865013,3976,3976
1508879413,4047,4047
1508893813,4080,4080
1508908213,4069,4069
1508922612,4112,4112
1508937013,4040,4040
1508951413,4021,4021
1508965816,3958,3958
1508980213,3906,3906
1508994613,3827,3827
1509009012,3796,3796
1509023412,3734,3734
1509037811,3699,3699
1509052212,3603,3603
1509066612,3493,3493
1509081012,3423,3423
1509095413,3407,3407
1509109811,3349,3349
1509124212,3230,3230
1509138611,3164,3164
1509153011,3146,3146
1509167411,3135,3135
1509181812,3150,3150
1509196211,3163,3163
1509210611,3307,3307
1509225011,3382,3382
1509239414,3448,3448
1509253813,3494,3494
1509268212,3597,3597
1509282612,3725,3725
1509297014,3813,3813
1509311414,3884,3884
1509325814,3937,3937
1509340213,3949,3949
