DateTime,AddedIPs,RemovedIPs
1512364163,1,0
1512386223,1,0
1512430375,1,0
1512497057,0,2
1512541019,0,2
1512563098,0,2
1512606983,0,1
1512650931,0,1
1512673114,1,1
1512761323,0,1
1512783177,1,0
1512805321,0,1
1512827337,0,1
1512893573,1,0
1512915699,1,0
1512937973,0,1
1512959821,1,1
1512981881,1,0
1513003961,1,0
1513048167,3,1
1513180124,1,0
1513224293,1,0
1513279481,1,1
1513323630,1,0
1513389887,0,1
1513456136,1,0
1513521877,0,1
1513543967,0,1
1513565813,1,1
1513588165,0,2
1513610011,0,1
1513654110,1,3
1513697885,1,0
1513741978,1,0
1513786416,1,1
1513830527,0,1
1513897359,1,1
1513919313,1,1
1513941427,1,0
1513985820,1,0
1514029936,1,0
1514051852,1,0
1514073727,1,1
1514139875,1,0
1514183901,0,1
1514249934,0,1
1514271888,2,0
1514315806,0,1
1514359758,0,1
1514382057,1,1
1514448094,1,0
1514491963,1,0
1514514032,0,1
1514557802,0,1
1514579813,1,1
1514602022,1,0
1514623964,1,1
1514646167,1,0
1514668042,0,2
1514712104,0,1
