DateTime,AddedIPs,RemovedIPs
1513718084,0,1
1513719950,1,2
1513722645,0,3
1513723540,1,0
1513725040,1,1
1513726848,2,0
1513731385,3,0
1513732243,1,0
1513733413,1,0
1513734161,0,1
1513735155,1,0
1513736145,1,1
1513737754,0,2
1513738592,1,0
1513740930,1,0
1513743287,1,1
1513744850,0,1
1513747440,1,0
1513749414,0,1
1513752838,10,0
1513754078,2,0
1513755933,2,0
1513758051,2,2
1513761057,0,2
1513762538,1,0
1513764942,1,0
1513765830,1,1
1513766558,0,1
1513768246,0,2
1513769398,0,1
1513770133,1,0
1513771918,1,1
1513773945,1,3
1513775442,1,1
1513780954,0,2
1513781804,1,0
1513782647,1,0
1513784553,0,1
1513786544,0,1
1513788161,0,1
1513789836,0,1
1513791777,0,3
1513796934,1,2
1513798844,0,3
1513800637,2,1
1513801720,1,0
1513802565,1,3
1513804137,2,0
1513805132,0,1
1513808085,0,2
1513808923,1,0
1513809945,2,1
1513810602,0,2
1513812648,1,2
1513813362,2,1
1513814197,1,0
1513815925,1,0
1513816911,2,1
1513818640,2,1
1513822098,0,1
1513824314,1,0
1513827765,0,1
1513828856,0,2
1513834966,0,1
1513836513,1,2
1513838561,1,1
1513840475,0,1
1513842162,1,0
1513847441,0,1
1513852117,1,0
1513852953,2,0
1513854646,0,3
1513855720,1,0
1513856758,1,2
1513857990,2,0
1513861735,0,1
1513863056,0,1
1513863941,1,0
1513865420,1,0
1513866518,2,0
1513867551,0,1
1513869040,0,1
1513871145,0,1
1513872644,0,1
1513873854,1,0
1513874739,1,0
1513875390,1,0
1513876484,0,1
1513878644,0,2
1513881641,0,1
1513883682,0,1
1513888229,0,1
1513890641,1,0
1513893398,2,0
1513894475,2,0
1513896168,4,1
1513901269,1,3
1513903248,1,1
1513905273,1,2
1513907133,2,0
1513908054,0,1
1513911396,1,0
1513912239,0,1
1513914155,0,1
1513917006,0,1
1513917740,1,0
1513920516,1,0
1513923041,0,8
1513924957,1,1
1513927835,0,4
1513930242,2,0
1513932041,0,1
1513934920,1,0
1513936231,3,0
1513937435,0,1
1513938518,2,0
1513939542,1,2
1513941930,3,0
1513944943,0,1
1513948242,0,1
1513949448,2,0
1513950362,1,0
1513955679,1,0
1513957551,0,1
1513961144,0,1
1513962633,1,0
1513968348,1,1
1513970447,1,0
1513971752,1,2
1513973440,1,0
1513976155,0,1
1513977054,1,0
1513978121,1,0
1513978950,0,1
1513980643,1,1
1513982555,1,4
1513984480,1,1
1513985321,1,0
1513986905,1,2
1513988732,1,0
1513991440,1,1
1513992647,1,0
1513993852,1,1
1513996956,0,2
1513998641,0,2
1514002245,1,0
1514004044,1,0
1514005839,1,0
1514007750,2,0
1514012486,2,1
1514013344,2,1
1514014960,0,1
1514018741,1,0
1514020247,1,0
1514022048,0,2
1514022930,1,0
1514026859,0,3
1514029758,2,0
1514032116,0,1
1514036399,0,1
1514039047,0,1
1514043653,0,2
1514045444,0,1
