DateTime,Entries,UniqueIPs
1509127828,2838,2877
1509139827,2902,2944
1509150626,2925,2967
1509163827,2920,2963
1509176428,2877,2920
1509186628,2864,2908
1509197428,2861,2900
1509207628,2822,2862
1509219027,2766,2807
1509229827,2734,2776
1509240627,2642,2683
1509254426,2617,2654
1509267028,2590,2627
1509278428,2561,2597
1509291028,2546,2581
1509301227,2497,2530
1509315627,2522,2554
1509327026,2533,2566
1509340226,2517,2548
1509350429,2492,2526
1509361830,2475,2508
1509370829,2487,2520
1509384028,2545,2576
1509394228,2566,2599
1509405028,2570,2602
1509417627,2524,2558
1509431427,2571,2605
1509442229,2551,2585
1509453028,2494,2526
1509462628,2427,2456
1509474027,2472,2504
1509487226,2478,2509
1509497426,2431,2466
1509508826,2400,2434
1509520229,2429,2464
1509530428,2407,2444
1509541228,2407,2443
1509552028,2409,2442
1509562226,2462,2496
1509573027,2457,2491
1509584426,2547,2582
1509595226,2451,2482
1509606029,2531,2566
1509616829,2505,2539
1509627029,2395,2426
1509638428,2470,2502
1509649228,2476,2507
1509658827,2352,2384
1509670227,2461,2497
1509681627,2456,2490
1509691826,2443,2475
1509702628,2396,2427
1509713428,2390,2424
1509723627,2396,2432
1509734427,2393,2430
1509745827,2385,2422
1509756626,2293,2330
1509767426,2318,2354
1509778226,2398,2436
1509789628,2379,2418
1509799828,2262,2300
1509810027,2326,2366
1509819025,2372,2413
1509830427,2384,2423
1509841226,2354,2391
1509852626,2357,2393
1509862825,2342,2376
1509873628,2334,2368
1509885028,2304,2339
1509895227,2314,2349
1509906029,2276,2312
1509916227,2288,2324
1509927626,2355,2391
1509938426,2329,2365
1509949226,2334,2367
1509960028,2229,2262
1509970229,2195,2226
1509981628,2295,2328
1509992428,2304,2338
1510003227,2250,2283
1510013426,2198,2232
1510024826,2288,2323
1510035626,2211,2246
1510046429,2292,2327
1510057828,2472,2507
1510070429,2574,2609
1510081828,2616,2648
1510093828,2657,2690
1510104627,2725,2760
1510116026,2770,2805
1510130429,2804,2841
1510140630,2816,2854
1510152628,2880,2922
1510165828,2911,2952
1510176028,2923,2967
1510187427,2949,2990
1510198827,2915,2955
1510211426,2901,2942
1510224029,2900,2942
1510238428,2893,2935
1510250428,2910,2951
1510261228,2930,2971
1510272027,2970,3009
1510283427,2971,3012
1510295426,2967,3010
1510308629,2945,2990
1510321228,2862,2906
1510332628,2855,2898
1510344028,2873,2916
1510354227,2825,2866
1510365626,2833,2872
1510376426,2801,2837
1510387229,2874,2914
1510398029,2852,2892
1510410628,2858,2897
1510423228,2867,2905
1510434028,2911,2950
1510444828,2914,2954
1510455626,3030,3070
1510468826,3152,3193
1510481428,3170,3212
1510495828,3155,3199
1510507828,3135,3177
1510518628,3159,3202
1510530027,3160,3205
1510542626,3157,3202
1510553426,3115,3155
1510566629,3304,3346
1510581029,3255,3299
1510594829,3254,3298
1510606227,3177,3217
1510617628,3160,3199
1510629027,3131,3172
1510641626,3247,3289
1510654216,3076,3118
1510668628,2996,3036
1510680028,2937,2976
1510690228,3058,3098
1510701628,3194,3237
1510713027,3272,3314
1510724426,3248,3290
1510735229,3202,3243
1510749028,3156,3198
1510762228,3165,3208
1510774828,3178,3221
1510785028,3188,3231
1510795827,3270,3310
