DateTime,AddedIPs,RemovedIPs
1513809946,1,0
1513811443,0,1
1513812649,0,4
1513813362,0,2
1513814198,1,0
1513815033,0,1
1513816911,1,1
1513818641,2,3
1513820743,3,1
1513822103,2,1
1513823431,3,0
1513833085,1,1
1513834967,3,1
1513836514,0,1
1513838563,1,1
1513840476,0,1
1513841457,0,1
1513843040,1,0
1513844088,6,0
1513845339,0,1
1513846594,2,0
1513847442,0,1
1513849358,0,2
1513852118,1,0
1513852954,0,1
1513854647,0,1
1513855721,1,0
1513856759,2,1
1513857990,2,4
1513860161,2,1
1513861736,2,0
1513863057,2,0
1513865429,12,0
1513866519,1,0
1513867552,1,0
1513871146,0,3
1513872645,0,1
1513873855,0,1
1513874740,0,1
1513876485,0,1
1513877318,2,0
1513878645,2,0
1513879846,0,2
1513880746,1,0
1513881642,1,1
1513883683,0,2
1513885234,1,0
1513890642,1,0
1513892450,1,1
1513893399,3,0
1513894476,0,2
1513896168,1,0
1513899048,0,1
1513899901,1,0
1513901270,1,0
1513903249,4,1
1513905273,0,2
1513906224,0,1
1513909861,2,2
1513912240,0,1
1513914155,1,1
1513916072,0,2
1513917014,0,1
1513917741,1,0
1513919442,1,0
1513920516,3,0
1513921556,2,3
1513923042,0,2
1513924958,1,1
1513926647,1,1
1513927836,1,1
1513930242,0,4
1513931122,6,0
1513932042,1,2
1513933842,2,0
1513934920,1,0
1513936232,0,2
1513938518,2,0
1513939543,1,0
1513942843,1,3
1513944107,1,0
1513944944,2,0
1513947031,1,1
1513948243,0,2
1513949448,1,0
1513950362,4,0
1513955680,0,2
1513959040,0,1
1513961145,1,2
1513962639,1,1
1513964449,4,1
1513968349,0,3
1513970448,3,0
1513971753,0,1
1513973441,0,2
1513976156,6,1
1513977055,1,0
1513978122,1,0
1513978951,1,0
1513980644,2,1
1513982556,1,0
1513984481,0,1
1513985322,1,0
1513986906,3,1
1513987843,1,3
1513988733,1,0
1513989649,4,3
1513991441,3,1
1513992648,0,5
1513994756,0,1
1513995649,1,0
1513996957,2,0
1513997801,4,0
1514002245,1,1
1514004045,4,3
1514005840,1,1
1514007751,1,1
1514008887,1,0
1514009745,2,0
1514012487,0,2
1514013345,2,0
1514014961,2,6
1514016524,1,1
1514020248,1,0
1514022048,2,1
1514024731,2,0
1514025768,1,0
1514026862,0,3
1514027738,2,0
1514029763,1,2
1514031313,0,1
1514033150,2,3
1514034640,1,9
1514035537,2,0
1514036400,0,5
1514038245,1,0
1514039048,2,0
1514040252,1,0
1514041175,1,0
1514043654,0,1
1514045445,1,0
1514047351,6,3
1514049043,0,1
1514050847,1,2
1514053719,0,1
1514056470,1,0
1514057445,1,0
1514061759,0,5
1514062593,3,0
1514063688,0,3
1514067932,1,0
1514068844,0,1
1514070880,1,1
1514075101,1,0
1514076151,1,0
1514078089,1,0
1514078918,1,0
1514079751,2,1
1514081445,1,0
1514082291,1,0
1514085276,2,0
1514089864,1,0
1514091034,1,0
1514092241,1,0
1514096451,1,0
1514097352,1,0
1514098418,1,0
1514100936,0,1
1514104968,1,1
1514106882,1,0
1514107844,0,7
1514110241,1,0
1514111316,2,1
1514112341,1,0
1514113843,1,0
1514115341,3,0
1514117445,1,0
1514118646,2,0
1514120197,0,1
1514122252,2,0
1514125809,1,26
1514129210,0,1
1514130049,1,1
1514132072,1,0
1514133757,0,5
1514140951,0,2
1514141791,1,0
1514144449,0,5
1514145337,1,0
1514146475,0,1
1514148481,0,3
1514149286,0,3
1514151638,0,1
1514152537,1,0
1514155540,0,3
1514157043,0,1
1514158244,0,2
1514159138,1,4
1514160648,0,3
1514162553,1,1
1514164476,1,0
1514165316,2,0
1514166352,0,3
1514168082,0,4
1514169639,1,0
1514171686,0,1
1514173368,0,5
1514174498,0,1
1514176240,1,1
1514176969,1,0
1514178644,0,2
1514180551,1,1
1514183489,0,2
1514184344,0,2
1514186076,0,1
1514186923,0,1
1514189448,3,1
1514191545,0,2
1514194959,0,4
1514196650,0,1
1514198439,0,2
1514200483,1,0
1514201447,0,1
1514202334,1,1
1514205459,0,1
1514207398,0,1
1514208516,1,0
1514209364,0,2
1514210932,2,1
1514214084,0,1
1514214942,0,1
1514215828,1,5
1514216558,1,0
1514218843,2,0
1514219895,2,0
1514222072,1,0
1514223043,1,0
1514223757,1,0
1514225441,2,0
1514227250,0,1
1514229040,1,0
1514230246,1,0
1514231141,3,0
1514232626,0,3
1514233730,1,0
1514234558,1,1
1514236738,2,0
1514238046,1,0
1514239841,1,1
1514240739,1,0
1514242189,3,0
1514246453,0,3
1514248250,0,1
1514249146,0,2
1514250221,0,1
1514252446,1,1
1514253340,2,0
1514254242,0,1
1514255316,1,0
1514256261,0,1
1514259757,0,1
1514261448,0,1
1514266951,0,2
1514272244,1,1
1514273449,0,2
1514274963,1,0
1514275842,0,1
1514277577,5,0
1514279451,0,1
1514283277,0,2
1514284238,0,2
1514285139,1,1
1514287563,2,0
1514288448,0,2
1514291440,1,1
1514292504,2,0
1514293716,1,0
1514296315,1,1
1514298331,1,0
1514299245,1,0
1514300482,1,1
1514302554,3,1
1514305646,1,0
1514315654,2,1
1514316657,2,0
1514322642,3,1
1514323859,4,0
1514324739,1,0
1514326246,1,0
1514327441,1,0
1514328342,2,0
1514329841,2,1
1514331029,1,1
1514333433,3,1
1514335339,0,2
1514337042,3,0
1514337927,1,0
1514338958,0,1
1514340647,2,0
1514341844,1,0
1514342716,1,0
1514344476,1,0
1514346049,0,3
1514346944,1,0
1514348738,1,0
1514349646,0,1
1514351441,1,1
1514354191,1,0
1514356096,1,0
1514357150,1,0
1514358568,1,3
1514364032,6,0
1514367046,2,0
1514369447,0,1
1514370513,1,0
1514371375,1,0
1514372935,0,1
1514373842,1,0
1514375806,1,0
1514377717,1,0
1514378549,1,1
1514380481,1,2
1514382337,1,0
1514384078,1,0
1514385749,0,2
1514387678,1,0
1514388514,1,0
1514389349,0,4
1514390385,1,0
1514393133,0,3
1514394870,1,1
1514395713,1,0
1514398482,0,1
1514400149,1,2
1514401175,0,2
1514403941,0,1
1514404900,0,2
1514406589,0,2
1514407350,1,0
1514409275,0,1
1514410950,0,2
1514412646,0,3
1514417316,1,0
1514419840,1,0
1514422881,2,3
1514425244,1,1
1514426132,1,0
1514429882,4,0
1514430946,1,0
1514436342,2,0
1514438070,2,0
1514439761,1,0
1514441664,2,2
1514444640,0,1
1514445463,1,0
1514446970,0,5
1514448963,1,0
1514450549,2,0
1514454707,0,1
1514457601,0,2
1514459434,2,1
1514460525,3,0
1514463041,0,2
1514464121,1,0
1514464964,0,1
1514468139,1,2
1514469334,1,0
1514470471,0,1
1514471438,0,4
1514475945,1,1
1514477448,1,0
1514478337,1,0
1514479764,3,0
1514480699,1,0
1514482111,1,0
1514483975,0,1
1514485829,0,2
1514487887,1,0
1514489327,1,0
1514490140,1,1
1514491014,0,2
1514491849,1,0
1514492910,2,0
1514493959,1,2
1514495308,1,0
1514496779,1,0
1514497843,2,0
1514500116,1,0
1514504165,3,0
1514505040,1,0
1514508337,1,0
1514511174,1,0
1514512887,3,0
1514513694,1,0
1514514658,2,0
1514515546,1,0
1514518975,0,2
1514519954,1,0
1514521709,1,0
1514523950,1,0
1514526341,1,0
1514531447,1,0
1514532649,2,0
1514535034,1,0
1514536970,5,33
1514538894,1,0
1514539865,0,1
1514542246,0,1
1514543450,0,1
1514545856,1,2
1514547792,3,1
1514548619,1,1
1514549679,1,0
1514551246,1,1
1514555754,1,1
1514556640,1,1
1514557794,0,1
1514560106,0,3
1514564083,0,1
1514565956,1,1
1514569365,0,1
1514571043,2,0
1514574882,1,0
1514576582,1,1
1514578550,2,0
1514580996,1,0
1514582070,1,0
1514585670,3,0
1514586936,0,2
1514587822,2,0
1514589275,4,0
1514590256,3,0
1514591142,1,0
1514592647,5,2
1514593542,4,0
1514595426,0,3
1514596477,0,1
1514598342,0,1
1514599474,1,2
1514601569,0,1
1514603442,1,0
1514604955,2,2
1514606923,2,2
1514608953,1,1
1514610644,1,2
1514611854,2,2
1514614246,1,0
1514616217,1,1
1514618069,1,0
1514619085,0,2
1514619950,2,1
1514621682,2,0
1514623351,1,0
1514624213,2,0
1514629715,2,2
1514630736,0,3
1514633447,0,1
1514635845,1,0
1514637047,1,1
1514639446,1,1
1514641358,1,0
1514642402,2,0
1514646643,1,2
1514648563,0,1
1514650844,0,4
1514652341,2,1
1514654742,1,0
1514657432,1,0
1514659352,0,2
1514661269,1,0
1514662950,1,4
1514664640,3,0
1514666459,0,2
1514668248,1,1
1514671005,1,1
1514671843,0,1
1514673751,1,5
1514675443,1,0
1514677350,2,1
1514682940,3,2
1514683710,1,0
1514685413,2,3
1514686242,1,0
1514686471,1,0
1514689191,0,1
1514690077,1,0
1514691104,0,1
1514691758,1,0
1514693452,1,1
1514697280,0,1
1514700643,3,1
1514702745,1,2
1514704245,1,1
1514706342,1,5
1514707266,1,1
1514708150,2,0
1514709758,1,0
1514711446,3,0
1514716856,0,3
1514718649,0,3
